('', '福门里 3室2厅 230万', '福门里  ', '低楼层(共6层)暂无数据  -  正定县', '230万', '单价18853元/平米')
('', '壹江城 3室2厅 150万', '壹江城  ', '中楼层(共33层)暂无数据  -  正定县', '150万', '单价11812元/平米')
('', '壹江城 3室2厅 140万', '壹江城  ', '中楼层(共33层)板楼  -  正定县', '140万', '单价10938元/平米')
('', '盛华园 3室2厅 200万', '盛华园  ', '低楼层(共33层)暂无数据  -  正定县', '200万', '单价15874元/平米')
('', '壹江城 2室2厅 110万', '壹江城  ', '高楼层(共33层)暂无数据  -  正定县', '110万', '单价12360元/平米')
('', '壹江城 3室2厅 150万', '壹江城  ', '低楼层(共33层)板楼  -  正定县', '150万', '单价11719元/平米')
('', '盛华园 1室0厅 59万', '盛华园  ', '中楼层(共33层)暂无数据  -  正定县', '59万', '单价15421元/平米')
('', '壹江城 2室2厅 110万', '壹江城  ', '高楼层(共33层)暂无数据  -  正定县', '110万', '单价12163元/平米')
('', '壹江城 3室2厅 135万', '壹江城  ', '中楼层(共33层)板楼  -  正定县', '135万', '单价10547元/平米')
('', '盛世华安 4室2厅 250万', '盛世华安  ', '低楼层(共23层)暂无数据  -  正定县', '250万', '单价16448元/平米')
('', '壹江城 2室2厅 105万', '壹江城  ', '高楼层(共33层)暂无数据  -  正定县', '105万', '单价11932元/平米')
('', '壹江城 3室2厅 150万', '壹江城  ', '中楼层(共33层)板楼  -  正定县', '150万', '单价11719元/平米')
('', '正安慧园北院 3室2厅 200万', '正安慧园北院  ', '中楼层(共6层)暂无数据  -  正定县', '200万', '单价14761元/平米')
('', '壹江城 3室2厅 135万', '壹江城  ', '高楼层(共33层)板楼  -  正定县', '135万', '单价10547元/平米')
('', '盛世华安 2室1厅 150万', '盛世华安  ', '中楼层(共32层)暂无数据  -  正定县', '150万', '单价15790元/平米')
('', '北关景城 2室2厅 160万', '北关景城  ', '高楼层(共7层)暂无数据  -  正定县', '160万', '单价16000元/平米')
('', '福门里 2室2厅 180万', '福门里  ', '高楼层(共6层)板楼  -  正定县', '180万', '单价15930元/平米')
('', '盛世华安 2室2厅 135万', '盛世华安  ', '高楼层(共24层)暂无数据  -  正定县', '135万', '单价16266元/平米')
('', '江南鸿郡 3室2厅 125万', '江南鸿郡  ', '高楼层(共7层)暂无数据  -  正定县', '125万', '单价8013元/平米')
('', '达诺现代城 3室2厅 193万', '达诺现代城  ', '低楼层(共32层)暂无数据  -  正定县', '193万', '单价15162元/平米')
('', '北关景城 2室2厅 145万', '北关景城  ', '高楼层(共7层)暂无数据  -  正定县', '145万', '单价14500元/平米')
('', '上洋国际C区 2室2厅 118万', '上洋国际C区  ', '低楼层(共33层)暂无数据  -  正定县', '118万', '单价12118元/平米')
('', '北关景城 2室1厅 125万', '北关景城  ', '低楼层(共33层)暂无数据  -  正定县', '125万', '单价14535元/平米')
('', '盛世华安 2室1厅 145万', '盛世华安  ', '中楼层(共29层)暂无数据  -  正定县', '145万', '单价16667元/平米')
('', '正定急售两室房屋，免费停车，精装修，带家具家电', '壹江城  ', '低楼层(共33层)暂无数据  -  正定县', '115万', '单价12340元/平米')
('', '晨光花苑 2室2厅 140万', '晨光花苑  ', '中楼层(共6层)暂无数据  -  正定县', '140万', '单价14286元/平米')
('', '晨光花苑 3室2厅 145万', '晨光花苑  ', '高楼层(共6层)暂无数据  -  正定县', '145万', '单价10378元/平米')
('', '北关景城 2室1厅 130万', '北关景城  ', '高楼层(共33层)暂无数据  -  正定县', '130万', '单价15117元/平米')
('', '盛华园 2室2厅 150万', '盛华园  ', '高楼层(共33层)暂无数据  -  正定县', '150万', '单价17242元/平米')
('', '北关景城 3室2厅 180万', '北关景城  ', '中楼层(共33层)暂无数据  -  正定县', '180万', '单价14517元/平米')
('', '盛世华安 2室2厅 138万', '盛世华安  ', '低楼层(共24层)暂无数据  -  正定县', '138万', '单价16627元/平米')
('', '万佳丽都 2室2厅 136万', '万佳丽都  ', '高楼层(共33层)暂无数据  -  正定县', '136万', '单价14469元/平米')
('', '物资局小区 2室2厅 130万', '物资局小区  ', '中楼层(共5层)暂无数据  -  正定县', '130万', '单价11712元/平米')
('', '常山小区 3室1厅 100万', '常山小区  ', '中楼层(共5层)暂无数据  -  正定县', '100万', '单价14286元/平米')
('', '上洋国际C区 2室1厅 93万', '上洋国际C区  ', '中楼层(共33层)暂无数据  -  正定县', '93万', '单价12400元/平米')
('', '晨光花苑 2室2厅 165万', '晨光花苑  ', '中楼层(共7层)暂无数据  -  正定县', '165万', '单价15625元/平米')
('', '晨光花苑 2室2厅 143万', '晨光花苑  ', '中楼层(共7层)暂无数据  -  正定县', '143万', '单价13000元/平米')
('', '晨光花苑 2室2厅 135万', '晨光花苑  ', '高楼层(共6层)暂无数据  -  正定县', '135万', '单价14554元/平米')
('', '晨光花苑 3室2厅 178万', '晨光花苑  ', '中楼层(共7层)暂无数据  -  正定县', '178万', '单价13384元/平米')
('', '上洋国际A区 2室2厅 130万', '上洋国际A区  ', '高楼层(共33层)暂无数据  -  正定县', '130万', '单价13783元/平米')
('', '上洋国际B区 2室2厅 120万', '上洋国际B区  ', '高楼层(共33层)暂无数据  -  正定县', '120万', '单价13044元/平米')
('', '盛华园 2室1厅 132万', '盛华园  ', '高楼层(共33层)暂无数据  -  正定县', '132万', '单价14506元/平米')
('', '达诺现代城 2室2厅 145万', '达诺现代城  ', '低楼层(共32层)暂无数据  -  正定县', '145万', '单价14796元/平米')
('', '晨光花苑 3室2厅 160万', '晨光花苑  ', '高楼层(共6层)暂无数据  -  正定县', '160万', '单价12904元/平米')
('', '达诺现代城 3室2厅 233万', '达诺现代城  ', '高楼层(共32层)暂无数据  -  正定县', '233万', '单价16069元/平米')
('', '晨光花苑 3室2厅 170万', '晨光花苑  ', '高楼层(共6层)暂无数据  -  正定县', '170万', '单价13766元/平米')
('', '晨光花苑 3室2厅 175万', '晨光花苑  ', '中楼层(共7层)暂无数据  -  正定县', '175万', '单价13158元/平米')
('', '晨光花苑 3室2厅 150万', '晨光花苑  ', '高楼层(共6层)暂无数据  -  正定县', '150万', '单价13044元/平米')
('', '常山小区 3室1厅 120万', '常山小区  ', '中楼层(共5层)暂无数据  -  正定县', '120万', '单价15000元/平米')
('', '万佳丽都 2室1厅 108万', '万佳丽都  ', '低楼层(共33层)暂无数据  -  正定县', '108万', '单价15000元/平米')
('', '北关景城 2室2厅 140万', '北关景城  ', '中楼层(共33层)暂无数据  -  正定县', '140万', '单价13208元/平米')
('', '达诺现代城 3室2厅 218万', '达诺现代城  ', '低楼层(共32层)暂无数据  -  正定县', '218万', '单价16516元/平米')
('', '达诺现代城 4室2厅 285万', '达诺现代城  ', '中楼层(共32层)暂无数据  -  正定县', '285万', '单价15746元/平米')
('', '恒丰翠庭 2室1厅 165万', '恒丰翠庭  ', '中楼层(共7层)暂无数据  -  正定县', '165万', '单价18334元/平米')
('', '恒山西苑 3室2厅 235万', '恒山西苑  ', '中楼层(共6层)暂无数据  -  正定县', '235万', '单价16550元/平米')
('', '恒泰家园 2室2厅 155万', '恒泰家园  ', '高楼层(共6层)暂无数据  -  正定县', '155万', '单价15980元/平米')
('', '晨光花苑 2室2厅 140万', '晨光花苑  ', '中楼层(共6层)暂无数据  -  正定县', '140万', '单价14433元/平米')
('', '晶都花苑 2室1厅 115万', '晶都花苑  ', '高楼层(共7层)暂无数据  -  正定县', '115万', '单价15754元/平米')
('', '华府名邸 3室2厅 210万', '华府名邸  ', '低楼层(共33层)暂无数据  -  正定县', '210万', '单价16154元/平米')
('', '恒山小区 2室1厅 95万', '恒山小区  ', '高楼层(共6层)暂无数据  -  正定县', '95万', '单价14616元/平米')
('', '金星世纪嘉苑 3室2厅 178万', '金星世纪嘉苑  ', '高楼层(共6层)暂无数据  -  正定县', '178万', '单价15085元/平米')
('', '恒山小区 3室1厅 95万', '恒山小区  ', '高楼层(共6层)暂无数据  -  正定县', '95万', '单价13381元/平米')
